Character,AbilityType,Key,Level,Value1,Value2
Arataki Itto,NORMAL,N1,9,1.455654,0
Arataki Itto,NORMAL,N2,9,1.403040,0
Arataki Itto,NORMAL,N3,9,1.683648,0
Arataki Itto,NORMAL,N4,9,2.153666,0
Arataki Itto,CHARGED,Saichimonji Slash,9,1.662160,0
Arataki Itto,CHARGED,Arataki Kesagiri Combo Slash,9,1.674800,0
Arataki Itto,CHARGED,Arataki Kesagiri Final Slash,9,3.507600,0
Arataki Itto,PLUNGE,High Plunge,9,3.754990,0
Arataki Itto,SKILL,Masatsu Zetsugi Akaushi Burst,9,5.222400,0
Arataki Itto,SKILL,Masatsu Zetsugi Akaushi Burst C3,12,6.144000,0
Arataki Itto,BURST,DEF to ATK Conversion,9,0.979200,0
Arataki Itto,BURST,DEF to ATK Conversion C5,12,1.152000,0
