Character,AbilityType,Key,Level,Value1,Value2
Arlecchino,STATS,Base HP,90,13103,0
Arlecchino,STATS,Base ATK,90,342,0
Arlecchino,STATS,Base DEF,90,765,0
Arlecchino,STATS,Ascension CRIT DMG,90,0.384,0
Arlecchino,STATS,Energy Cost,90,60,0
Arlecchino,STATS,Constellation,6,6,0
Arlecchino,CONFIG,Character Level,90,90,0
Arlecchino,CONFIG,Normal Level,12,12,0
Arlecchino,CONFIG,Skill Level,9,9,0
Arlecchino,CONFIG,Burst Level,12,12,0
Arlecchino,CONFIG,Skill Cooldown,1,30,0
Arlecchino,CONFIG,Burst Cooldown,1,15,0
