Character,AbilityType,Key,Level,Value1,Value2
Charlotte,STATS,Base HP,90,10766,0
Charlotte,STATS,Base ATK,90,173,0
Charlotte,STATS,Base DEF,90,546,0
Charlotte,STATS,Ascension ATK Percent,90,0.24,0
Charlotte,STATS,Energy Cost,90,80,0
Charlotte,STATS,Constellation,6,6,0
Charlotte,CONFIG,Character Level,90,90,0
Charlotte,CONFIG,Normal Level,9,9,0
Charlotte,CONFIG,Skill Level,12,12,0
Charlotte,CONFIG,Burst Level,12,12,0
Charlotte,PASSIVE,Press Skill Cooldown,1,12,0
Charlotte,PASSIVE,Hold Skill Cooldown,1,18,0
Charlotte,PASSIVE,Burst Cooldown,1,20,0
Charlotte,PASSIVE,Arkhe Cooldown,1,6,0
