Character,AbilityType,Key,Level,Value1,Value2
Dehya,STATS,Base HP,90,15675,0
Dehya,STATS,Base ATK,90,265,0
Dehya,STATS,Base DEF,90,628,0
Dehya,STATS,Ascension HP Percent,90,0.288,0
Dehya,STATS,Energy Cost,90,70,0
Dehya,STATS,Constellation,6,6,0
Dehya,CONFIG,Character Level,90,90,0
Dehya,CONFIG,Normal Level,9,9,0
Dehya,CONFIG,Skill Level,12,12,0
Dehya,CONFIG,Burst Level,12,12,0
Dehya,PASSIVE,Skill Cooldown,1,20,0
Dehya,PASSIVE,Burst Cooldown,1,18,0
Dehya,PASSIVE,Fiery Sanctum Duration,1,12,0
Dehya,PASSIVE,Ranging Flame Extension,1,0.4,0
Dehya,PASSIVE,Coordinated Attack ICD,1,2.5,0
Dehya,PASSIVE,Particle Count,1,1,0
Dehya,PASSIVE,C1 HP Percent,1,0.20,0
Dehya,PASSIVE,C1 Skill Max HP Ratio,1,0.036,0
Dehya,PASSIVE,C1 Burst Max HP Ratio,1,0.060,0
Dehya,PASSIVE,C2 Field Extension,1,6,0
Dehya,PASSIVE,C4 Energy,1,1.5,0
Dehya,PASSIVE,C6 Burst CRIT Rate,1,0.10,0
Dehya,PASSIVE,C6 Burst CRIT DMG Per Stack,1,0.15,0
Dehya,PASSIVE,C6 Extension Per Stack,1,0.5,0
Dehya,PASSIVE,C6 Maximum Stacks,1,4,0
Dehya,PASSIVE,Burst Form Duration,1,4.1,0
