Character,AbilityType,Key,Level,Value1,Value2
Dori,STATS,Base HP,90,12397,0
Dori,STATS,Base ATK,90,223,0
Dori,STATS,Base DEF,90,723,0
Dori,STATS,Ascension HP Percent,90,0.24,0
Dori,STATS,Energy Cost,90,80,0
Dori,STATS,Constellation,6,6,0
Dori,CONFIG,Character Level,90,90,0
Dori,CONFIG,Normal Level,9,9,0
Dori,CONFIG,Skill Level,12,12,0
Dori,CONFIG,Burst Level,12,12,0
Dori,PASSIVE,Skill Cooldown,1,9,0
Dori,PASSIVE,Burst Cooldown,1,20,0
Dori,PASSIVE,Particle Count,1,2,0
Dori,PASSIVE,C6 Infusion Duration,1,3.8,0
