Character,AbilityType,Key,Level,Value1,Value2
Escoffier,STATS,Base HP,90,13348,0
Escoffier,STATS,Base ATK,90,347,0
Escoffier,STATS,Base DEF,90,732,0
Escoffier,STATS,Ascension CRIT Rate,90,0.192,0
Escoffier,STATS,Energy Cost,90,60,0
Escoffier,STATS,Constellation,6,6,0
Escoffier,CONFIG,Character Level,90,90,0
Escoffier,CONFIG,Normal Level,9,9,0
Escoffier,CONFIG,Skill Level,12,12,0
Escoffier,CONFIG,Burst Level,12,12,0
Escoffier,CONFIG,Skill Cooldown,1,15,0
Escoffier,CONFIG,Skill Cooldown Delay Frames,1,22,0
Escoffier,CONFIG,Burst Cooldown,1,15,0
