Character,AbilityType,Key,Level,Value1,Value2
Hu Tao,STATS,Base HP,90,15552,0
Hu Tao,STATS,Base ATK,90,106,0
Hu Tao,STATS,Base DEF,90,876,0
Hu Tao,STATS,Ascension CRIT DMG,90,0.384,0
Hu Tao,STATS,Energy Cost,90,60,0
Hu Tao,STATS,Constellation,6,6,0
Hu Tao,CONFIG,Character Level,90,90,0
Hu Tao,CONFIG,Normal Level,9,9,0
Hu Tao,CONFIG,Skill Level,12,12,0
Hu Tao,CONFIG,Burst Level,12,12,0
Hu Tao,PASSIVE,Skill Cooldown,1,16,0
Hu Tao,PASSIVE,Burst Cooldown,1,15,0
Hu Tao,PASSIVE,Paramita Duration Frames,1,554,0
Hu Tao,PASSIVE,Paramita ATK Cap Base ATK,1,4,0
Hu Tao,PASSIVE,Particle Cooldown,1,5,0
Hu Tao,PASSIVE,Particle Count Min,1,2,0
Hu Tao,PASSIVE,Particle Count Max,1,3,0
Hu Tao,PASSIVE,Particle Travel Frames,1,80,0
Hu Tao,PASSIVE,Blood Blossom Duration,1,9.5,0
Hu Tao,PASSIVE,Blood Blossom Interval,1,4,0
Hu Tao,PASSIVE,A1 Party CRIT Rate,1,0.12,0
Hu Tao,PASSIVE,A1 Duration,1,8,0
Hu Tao,PASSIVE,C2 Max HP Flat DMG,1,0.10,0
