Character,AbilityType,Key,Level,Value1,Value2
Ineffa,NORMAL,N1,9,0.640,0
Ineffa,NORMAL,N2,9,0.629,0
Ineffa,NORMAL,N3,9,0.418,0
Ineffa,NORMAL,N4,9,1.030,0
Ineffa,SKILL,Skill DMG,9,1.4688,0
Ineffa,SKILL,Shield Ratio,9,3.760128,0
Ineffa,SKILL,Shield Flat,9,2819.7734,0
Ineffa,SKILL,Birgitta DMG,9,1.632,0
Ineffa,SKILL,Skill DMG C3,12,1.7280,0
Ineffa,SKILL,Shield Ratio C3,12,4.423680,0
Ineffa,SKILL,Shield Flat C3,12,3547.8796,0
Ineffa,SKILL,Birgitta DMG C3,12,1.9200,0
Ineffa,BURST,Burst DMG,9,11.5056,0
Ineffa,BURST,Burst DMG C5,12,13.5360,0
