Character,AbilityType,Key,Level,Value1,Value2
Kamisato Ayaka,NORMAL,N1,9,0.840070,0
Kamisato Ayaka,NORMAL,N2,9,0.894438,0
Kamisato Ayaka,NORMAL,N3,9,1.150493,0
Kamisato Ayaka,NORMAL,N4-1,9,0.416061,0
Kamisato Ayaka,NORMAL,N4-2,9,0.416061,0
Kamisato Ayaka,NORMAL,N4-3,9,0.416061,0
Kamisato Ayaka,NORMAL,N5,9,1.436362,0
Kamisato Ayaka,CHARGED,Charged Attack,9,1.012780,0
Kamisato Ayaka,PLUNGE,High Plunge,9,2.933586,0
Kamisato Ayaka,SKILL,Hyouka,9,4.066400,0
Kamisato Ayaka,SKILL,Hyouka C5,12,4.784000,0
Kamisato Ayaka,BURST,Soumetsu Cutting,9,1.909100,0
Kamisato Ayaka,BURST,Soumetsu Bloom,9,2.863650,0
Kamisato Ayaka,BURST,Soumetsu Cutting C3,12,2.246000,0
Kamisato Ayaka,BURST,Soumetsu Bloom C3,12,3.369000,0
