Character,AbilityType,Key,Level,Value1,Value2
Kamisato Ayaka,STATS,Base HP,90,12858,0
Kamisato Ayaka,STATS,Base ATK,90,342,0
Kamisato Ayaka,STATS,Base DEF,90,784,0
Kamisato Ayaka,STATS,Ascension CRIT DMG,90,0.384,0
Kamisato Ayaka,STATS,Energy Cost,90,80,0
Kamisato Ayaka,STATS,Constellation,6,6,0
Kamisato Ayaka,CONFIG,Character Level,90,90,0
Kamisato Ayaka,CONFIG,Normal Level,9,9,0
Kamisato Ayaka,CONFIG,Skill Level,12,12,0
Kamisato Ayaka,CONFIG,Burst Level,12,12,0
Kamisato Ayaka,PASSIVE,Skill Cooldown,1,10,0
Kamisato Ayaka,PASSIVE,Burst Cooldown,1,20,0
Kamisato Ayaka,PASSIVE,Particle Count Low,1,4,0
Kamisato Ayaka,PASSIVE,Particle Count High,1,5,0
Kamisato Ayaka,PASSIVE,Particle Cooldown,1,0.3,0
Kamisato Ayaka,PASSIVE,Particle Travel Frames,1,100,0
Kamisato Ayaka,PASSIVE,Infusion Duration,1,5,0
Kamisato Ayaka,PASSIVE,A1 Normal Charged DMG Bonus,1,0.30,0
Kamisato Ayaka,PASSIVE,A1 Duration,1,6,0
Kamisato Ayaka,PASSIVE,A4 Cryo DMG Bonus,1,0.18,0
Kamisato Ayaka,PASSIVE,A4 Duration,1,10,0
Kamisato Ayaka,PASSIVE,C1 Skill Cooldown Reduction,1,0.3,0
Kamisato Ayaka,PASSIVE,C1 Proc Cooldown,1,0.1,0
Kamisato Ayaka,PASSIVE,C2 Frostflake Factor,2,0.20,0
Kamisato Ayaka,PASSIVE,C4 DEF Reduction,4,0.30,0
Kamisato Ayaka,PASSIVE,C4 Duration,4,6,0
Kamisato Ayaka,PASSIVE,C6 Charged DMG Bonus,6,2.98,0
Kamisato Ayaka,PASSIVE,C6 Ready Delay,6,10.5,0
