Character,AbilityType,Key,Level,Value1,Value2
Kaveh,STATS,Base HP,90,11962,0
Kaveh,STATS,Base ATK,90,234,0
Kaveh,STATS,Base DEF,90,751,0
Kaveh,STATS,Ascension Elemental Mastery,90,96,0
Kaveh,STATS,Energy Cost,90,80,0
Kaveh,STATS,Constellation,6,6,0
Kaveh,CONFIG,Character Level,90,90,0
Kaveh,CONFIG,Normal Level,9,9,0
Kaveh,CONFIG,Skill Level,12,12,0
Kaveh,CONFIG,Burst Level,12,12,0
Kaveh,PASSIVE,Skill Cooldown,1,6,0
Kaveh,PASSIVE,Burst Cooldown,1,20,0
Kaveh,PASSIVE,Burst Duration,1,12,0
Kaveh,PASSIVE,Particle Count,1,2,0
Kaveh,PASSIVE,A4 Elemental Mastery Per Stack,1,25,0
Kaveh,PASSIVE,A4 Max Stacks,1,4,0
Kaveh,PASSIVE,A4 Trigger Cooldown,1,0.1,0
Kaveh,PASSIVE,C1 Healing Bonus,1,0.25,0
Kaveh,PASSIVE,C1 Duration,1,3,0
Kaveh,PASSIVE,C2 Normal Attack Speed,1,0.15,0
Kaveh,PASSIVE,C4 Bloom DMG Bonus,1,0.60,0
Kaveh,PASSIVE,C6 Multiplier,1,0.618,0
Kaveh,PASSIVE,C6 Trigger Cooldown,1,3,0
Kaveh,PASSIVE,C6 Delay,1,0.3,0
