Character,AbilityType,Key,Level,Value1,Value2
Kinich,NORMAL,N1,9,1.818580,0
Kinich,NORMAL,N2,9,1.523120,0
Kinich,NORMAL,N3,9,2.268880,0
Kinich,CHARGED,Charged Attack Hit,9,0.889540,0
Kinich,PLUNGE,High Plunge,9,3.422517,0
Kinich,SKILL,Loop Shot Hit,9,0.973760,0
Kinich,SKILL,Loop Shot Hit C3,12,1.145600,0
Kinich,SKILL,Scalespiker Cannon,9,11.686480,0
Kinich,SKILL,Scalespiker Cannon C3,12,13.748800,0
Kinich,BURST,Initial Ajaw Attack,9,2.278000,0
Kinich,BURST,Initial Ajaw Attack C5,12,2.680000,0
Kinich,BURST,Ajaw Dragon Breath,9,2.052512,0
Kinich,BURST,Ajaw Dragon Breath C5,12,2.414720,0
Kinich,PASSIVE,Nightsoul Maximum Points,1,20,0
Kinich,PASSIVE,Nightsoul Entry Delay Frames,1,9,0
Kinich,PASSIVE,Nightsoul Duration Frames,1,610,0
Kinich,PASSIVE,Nightsoul Periodic Point Frames,1,30,0
Kinich,PASSIVE,Nightsoul Periodic Points,1,1,0
Kinich,PASSIVE,Loop Shot Points,1,3,0
Kinich,PASSIVE,Particle Count,1,5,0
Kinich,PASSIVE,Particle Travel Frames,1,100,0
Kinich,PASSIVE,Burst Nightsoul Extension,1,1.7,0
Kinich,PASSIVE,A4 Maximum Stacks,1,2,0
Kinich,PASSIVE,A4 Stack Duration,1,15,0
Kinich,PASSIVE,A4 ATK Multiplier Per Stack,1,3.2,0
Kinich,PASSIVE,C1 Cannon CRIT DMG,1,1,0
Kinich,PASSIVE,C2 Dendro RES Shred,2,0.3,0
Kinich,PASSIVE,C2 Duration,2,6,0
Kinich,PASSIVE,C2 Cannon DMG Bonus,2,1,0
Kinich,PASSIVE,C4 Energy,4,5,0
Kinich,PASSIVE,C4 Energy Cooldown,4,2.8,0
Kinich,PASSIVE,C4 Burst DMG Bonus,4,0.7,0
Kinich,PASSIVE,C6 Rebound Multiplier,6,7,0
Kinich,PASSIVE,C6 Rebound Travel Frames,6,50,0
