Character,AbilityType,Key,Level,Value1,Value2
Lan Yan,NORMAL,N1,9,0.70448,0
Lan Yan,NORMAL,N2-1,9,0.347004,0
Lan Yan,NORMAL,N2-2,9,0.424116,0
Lan Yan,NORMAL,N3-1,9,0.45764,0
Lan Yan,NORMAL,N3-2,9,0.45764,0
Lan Yan,NORMAL,N4,9,1.09752,0
Lan Yan,CHARGED,Charged Attack,9,0.64328,0
Lan Yan,PLUNGE,High Plunge,9,2.607632,0
Lan Yan,SKILL,Feathermoon Ring,9,1.636352,0
Lan Yan,SKILL,Feathermoon Ring C3,12,1.92512,0
Lan Yan,BURST,Lustrous Moonrise,9,4.098088,0
Lan Yan,BURST,Lustrous Moonrise C5,12,4.82128,0
Lan Yan,PASSIVE,Feathermoon Ring Window,1,1.1,0
Lan Yan,PASSIVE,A1 Converted Ring Ratio,1,0.5,0
Lan Yan,PASSIVE,A4 Ring EM Flat Ratio,1,3.09,0
Lan Yan,PASSIVE,A4 Burst EM Flat Ratio,1,7.74,0
Lan Yan,PASSIVE,C4 Party Elemental Mastery,4,60,0
Lan Yan,PASSIVE,C4 Duration,4,12,0
Lan Yan,PASSIVE,Particle Count,1,3,0
Lan Yan,PASSIVE,Particle Delay,1,1.6666666666666667,0
