Character,AbilityType,Key,Level,Value1,Value2
Neuvillette,STATS,Base HP,90,14695,0
Neuvillette,STATS,Base ATK,90,208,0
Neuvillette,STATS,Base DEF,90,576,0
Neuvillette,STATS,Ascension CRIT DMG,90,0.384,0
Neuvillette,STATS,Energy Cost,90,70,0
Neuvillette,STATS,Constellation,6,6,0
Neuvillette,CONFIG,Character Level,90,90,0
Neuvillette,CONFIG,Normal Level,12,12,0
Neuvillette,CONFIG,Skill Level,9,9,0
Neuvillette,CONFIG,Burst Level,12,12,0
Neuvillette,CONFIG,Skill Cooldown,1,12,0
Neuvillette,CONFIG,Burst Cooldown,1,18,0
