Character,AbilityType,Key,Level,Value1,Value2
Sangonomiya Kokomi,NORMAL,N1,9,1.162392,0
Sangonomiya Kokomi,NORMAL,N2,9,1.046153,0
Sangonomiya Kokomi,NORMAL,N3,9,1.603195,0
Sangonomiya Kokomi,CHARGED,Charged Attack,9,2.521440,0
Sangonomiya Kokomi,SKILL,Bake-Kurage,9,1.856237,0
Sangonomiya Kokomi,SKILL,Bake-Kurage C5,12,2.183808,0
Sangonomiya Kokomi,BURST,Nereid Ascension,9,0.177072,0
Sangonomiya Kokomi,BURST,Nereid Ascension C3,12,0.208320,0
Sangonomiya Kokomi,BURST,Normal Max HP Bonus,9,0.082280,0
Sangonomiya Kokomi,BURST,Normal Max HP Bonus C3,12,0.096800,0
Sangonomiya Kokomi,BURST,Charged Max HP Bonus,9,0.115192,0
Sangonomiya Kokomi,BURST,Charged Max HP Bonus C3,12,0.135520,0
Sangonomiya Kokomi,BURST,Bake-Kurage Max HP Bonus,9,0.120637,0
Sangonomiya Kokomi,BURST,Bake-Kurage Max HP Bonus C3,12,0.141926,0
