Character,AbilityType,Key,Level,Value1,Value2
Sangonomiya Kokomi,STATS,Base HP,90,13471,0
Sangonomiya Kokomi,STATS,Base ATK,90,234,0
Sangonomiya Kokomi,STATS,Base DEF,90,657,0
Sangonomiya Kokomi,STATS,Ascension Hydro DMG Bonus,90,0.288,0
Sangonomiya Kokomi,STATS,Energy Cost,90,70,0
Sangonomiya Kokomi,STATS,Constellation,6,6,0
Sangonomiya Kokomi,CONFIG,Character Level,90,90,0
Sangonomiya Kokomi,CONFIG,Normal Level,9,9,0
Sangonomiya Kokomi,CONFIG,Skill Level,12,12,0
Sangonomiya Kokomi,CONFIG,Burst Level,12,12,0
Sangonomiya Kokomi,PASSIVE,Skill Cooldown,1,20,0
Sangonomiya Kokomi,PASSIVE,Burst Cooldown,1,18,0
Sangonomiya Kokomi,PASSIVE,Flawless Strategy Healing Bonus,1,0.25,0
Sangonomiya Kokomi,PASSIVE,Flawless Strategy CRIT Rate,1,-1,0
Sangonomiya Kokomi,PASSIVE,Bake-Kurage Duration Frames,1,751,0
Sangonomiya Kokomi,PASSIVE,Bake-Kurage Refresh Frames,1,721,0
Sangonomiya Kokomi,PASSIVE,Bake-Kurage Interval Frames,1,120,0
Sangonomiya Kokomi,PASSIVE,Bake-Kurage Second Tick Frames,1,150,0
Sangonomiya Kokomi,PASSIVE,Particle Chance,1,0.67,0
Sangonomiya Kokomi,PASSIVE,Particle Cooldown,1,1,0
Sangonomiya Kokomi,PASSIVE,Particle Count,1,1,0
Sangonomiya Kokomi,PASSIVE,Particle Travel Frames,1,100,0
Sangonomiya Kokomi,PASSIVE,Burst Duration,1,10,0
Sangonomiya Kokomi,PASSIVE,A4 Healing Bonus Conversion,1,0.15,0
Sangonomiya Kokomi,PASSIVE,C1 Max HP Flat DMG,1,0.30,0
Sangonomiya Kokomi,PASSIVE,C4 Attack Speed,1,0.10,0
Sangonomiya Kokomi,PASSIVE,C4 Energy,1,0.8,0
Sangonomiya Kokomi,PASSIVE,C4 Energy Cooldown,1,0.2,0
