Character,AbilityType,Key,Level,Value1,Value2
Thoma,STATS,Base HP,90,10331,0
Thoma,STATS,Base ATK,90,202,0
Thoma,STATS,Base DEF,90,751,0
Thoma,STATS,Ascension ATK Percent,90,0.24,0
Thoma,STATS,Energy Cost,90,80,0
Thoma,STATS,Constellation,6,6,0
Thoma,CONFIG,Character Level,90,90,0
Thoma,CONFIG,Normal Level,9,9,0
Thoma,CONFIG,Skill Level,12,12,0
Thoma,CONFIG,Burst Level,12,12,0
Thoma,PASSIVE,Skill Cooldown,1,15,0
Thoma,PASSIVE,Burst Cooldown,1,20,0
Thoma,PASSIVE,Particle Count Min,1,3,0
Thoma,PASSIVE,Particle Count Max,1,4,0
Thoma,PASSIVE,Particle ICD,1,0.3,0
Thoma,PASSIVE,Burst Duration,1,15,0
Thoma,PASSIVE,C2 Burst Duration,1,18,0
Thoma,PASSIVE,Fiery Collapse ICD,1,1,0
Thoma,PASSIVE,A4 Max HP Ratio,1,0.022,0
Thoma,PASSIVE,C4 Energy,1,15,0
