Character,AbilityType,Key,Level,Value1,Value2
Venti,NORMAL,N1,9,0.3745,0
Venti,NORMAL,N2,9,0.8153,0
Venti,NORMAL,N3,9,0.9622,0
Venti,NORMAL,N4,9,0.4787,0
Venti,NORMAL,N5,9,0.9306,0
Venti,NORMAL,N6,9,1.3035,0
Venti,CHARGE,Fully Charged Aimed Shot,9,2.1080,0
Venti,PLUNGE,Plunge High,9,2.6076,0
Venti,SKILL,Skill Press,9,4.6920,0
Venti,SKILL,Skill Press C5,12,5.5200,0
Venti,BURST,Burst DoT,9,0.6392,0
Venti,BURST,Burst Absorbed,9,0.3196,0
Venti,BURST,Burst DoT C3,12,0.7520,0
Venti,BURST,Burst Absorbed C3,12,0.3760,0
Venti,PASSIVE,A4 Energy,1,15.0,0
