Character,AbilityType,Key,Level,Value1,Value2
Wriothesley,STATS,Base HP,90,13593,0
Wriothesley,STATS,Base ATK,90,311,0
Wriothesley,STATS,Base DEF,90,763,0
Wriothesley,STATS,Ascension CRIT DMG,90,0.384,0
Wriothesley,STATS,Energy Cost,90,60,0
Wriothesley,STATS,Constellation,6,6,0
Wriothesley,CONFIG,Character Level,90,90,0
Wriothesley,CONFIG,Normal Level,12,12,0
Wriothesley,CONFIG,Skill Level,9,9,0
Wriothesley,CONFIG,Burst Level,12,12,0
Wriothesley,PASSIVE,Skill Cooldown,1,16,0
Wriothesley,PASSIVE,Burst Cooldown,1,15,0
Wriothesley,PASSIVE,Skill Duration,1,10,0
Wriothesley,PASSIVE,Particle Cooldown,1,2,0
Wriothesley,PASSIVE,Particle Travel Frames,1,100,0
Wriothesley,PASSIVE,C1 Rebuke Cooldown,1,2.5,0
Wriothesley,PASSIVE,C1 Skill Extension,1,4,0
Wriothesley,PASSIVE,Ousia Cooldown,1,10,0
