Character,AbilityType,Key,Level,Value1,Value2
Yumemizuki Mizuki,STATS,Base HP,90,12736,0
Yumemizuki Mizuki,STATS,Base ATK,90,215,0
Yumemizuki Mizuki,STATS,Base DEF,90,757,0
Yumemizuki Mizuki,STATS,Ascension Elemental Mastery,90,115.2,0
Yumemizuki Mizuki,STATS,Energy Cost,90,60,0
Yumemizuki Mizuki,STATS,Constellation,6,6,0
Yumemizuki Mizuki,CONFIG,Character Level,90,90,0
Yumemizuki Mizuki,CONFIG,Normal Level,9,9,0
Yumemizuki Mizuki,CONFIG,Skill Level,12,12,0
Yumemizuki Mizuki,CONFIG,Burst Level,12,12,0
Yumemizuki Mizuki,CONFIG,Skill Cooldown,1,15,0
Yumemizuki Mizuki,CONFIG,Burst Cooldown,1,15,0
