#{"t_start": 1772985996.9878807, "env_id": "None"}
r,l,t
-12071.0055,279,1.408549
-12116.0055,279,1.896508
-12086.0055,279,2.287295
-12071.0055,279,2.736307
-12026.0055,279,3.124956
-12071.0055,279,3.564664
-12086.0055,279,4.032113
-12116.0055,279,4.487528
-12101.0055,279,4.915144
-12086.0055,279,5.371968
-12071.0055,279,5.795911
-12086.0055,279,6.21185
-12071.0055,279,6.628837
-12101.0055,279,7.045866
-12041.0055,279,7.485921
-12056.0055,279,7.909731
-12146.0055,279,8.304839
-12056.0055,279,8.694757
-12101.0055,279,9.074392
-12101.0055,279,9.525208
-12101.0055,279,9.950569
-12101.0055,279,10.402264
-12086.0055,279,10.796603
-12071.0055,279,11.260417
-12086.0055,279,11.710558
-12086.0055,279,12.130862
-12026.0055,279,12.592407
-12071.0055,279,13.003759
-12101.0055,279,13.443994
-12086.0055,279,13.852056
-12101.0055,279,14.217795
-12131.0055,279,14.589683
-12071.0055,279,14.948901
-12101.0055,279,15.339496
-12101.0055,279,15.699252
-12116.0055,279,16.066614
-12056.0055,279,16.436073
-12056.0055,279,16.808525
-12116.0055,279,17.17021
-12086.0055,279,17.544824
-12086.0055,279,17.922399
-12086.0055,279,18.310279
-12101.0055,279,18.71323
-12101.0055,279,19.102055
-12101.0055,279,19.512471
-12041.0055,279,29.430163
-12116.0055,279,29.820894
-12101.0055,279,30.237481
-12041.0055,279,30.623585
-12116.0055,279,31.009999
-12071.0055,279,31.387133
-12071.0055,279,31.746808
-12056.0055,279,32.100272
-12071.0055,279,32.455005
-12086.0055,279,32.810031
-12101.0055,279,33.157033
-12056.0055,279,33.513011
-12056.0055,279,33.864348
-12101.0055,279,34.216375
-12086.0055,279,34.582978
-12101.0055,279,34.93515
-12086.0055,279,35.348845
-12101.0055,279,35.784426
-12101.0055,279,36.241392
-12086.0055,279,36.677713
-12086.0055,279,37.145801
-12056.0055,279,37.587927
-12101.0055,279,38.033526
-12101.0055,279,38.488672
-12101.0055,279,38.924778
-12086.0055,279,39.342611
-12056.0055,279,39.731529
-12071.0055,279,40.119728
-12101.0055,279,40.573813
-12086.0055,279,40.927041
-12086.0055,279,41.309935
-12071.0055,279,41.722194
-12041.0055,279,42.108187
-12131.0055,279,42.500106
-12101.0055,279,42.877173
-12131.0055,279,43.27036
-12086.0055,279,43.649913
-12131.0055,279,44.04058
-12086.0055,279,44.41972
-12116.0055,279,44.799833
-12086.0055,279,45.177456
-12086.0055,279,45.580073
-12116.0055,279,45.951113
-12071.0055,279,46.3237
-12101.0055,279,46.740929
-12071.0055,279,47.107954
-12071.0055,279,56.75617
-12041.0055,279,57.137248
-12116.0055,279,57.534672
-12101.0055,279,57.940037
-12131.0055,279,58.346685
-12131.0055,279,58.753963
-12086.0055,279,59.105668
-12131.0055,279,59.508545
-12086.0055,279,59.881388
-12101.0055,279,60.288059
-12131.0055,279,60.667505
-12101.0055,279,61.04404
-12101.0055,279,61.450516
-12101.0055,279,61.886185
-12071.0055,279,62.325164
-12131.0055,279,62.739201
-12101.0055,279,63.224524
-12086.0055,279,63.645535
-12056.0055,279,64.087619
-12116.0055,279,64.551994
-12011.0055,279,65.008974
-12116.0055,279,65.436065
-12101.0055,279,65.800237
-12086.0055,279,66.181452
-12116.0055,279,66.595287
-12086.0055,279,66.956333
-12116.0055,279,67.338194
-12131.0055,279,67.72391
-12086.0055,279,68.156253
-12041.0055,279,68.571882
-12116.0055,279,68.966661
-12161.0055,279,69.379975
-12101.0055,279,69.813824
-12071.0055,279,70.212929
-12071.0055,279,70.670609
-12101.0055,279,71.073605
-12116.0055,279,71.469139
-12131.0055,279,71.867255
-12101.0055,279,72.299855
-12116.0055,279,72.723207
-12086.0055,279,73.117831
-12116.0055,279,73.544646
-12086.0055,279,73.966717
-12116.0055,279,74.347998
-12116.0055,279,74.767126
-12146.0055,279,75.182021
-12131.0055,279,84.492289
-12116.0055,279,84.871518
-12086.0055,279,85.250004
-12131.0055,279,85.651013
-12101.0055,279,86.007199
-12101.0055,279,86.367152
-12086.0055,279,86.727678
-12116.0055,279,87.142301
-12131.0055,279,87.616649
-12086.0055,279,88.088271
-12086.0055,279,88.574138
-12041.0055,279,89.024813
-12086.0055,279,89.45034
-12071.0055,279,89.945643
-12086.0055,279,90.409505
-12131.0055,279,90.885523
-12116.0055,279,91.322119
-12056.0055,279,91.687998
-12101.0055,279,92.082036
-12056.0055,279,92.460555
-12056.0055,279,92.838042
-12116.0055,279,93.235801
-12071.0055,279,93.640828
-12131.0055,279,94.026626
-12071.0055,279,94.391419
-12131.0055,279,94.781109
-12071.0055,279,95.161955
-12086.0055,279,95.570011
-12161.0055,279,95.947169
-12086.0055,279,96.3427
-12041.0055,279,96.75796
-12131.0055,279,97.140098
-12161.0055,279,97.519389
-12071.0055,279,97.899091
-12086.0055,279,98.299216
-12086.0055,279,98.722492
-12176.0055,279,99.133923
-12101.0055,279,99.560229
-12116.0055,279,99.965
-12131.0055,279,100.395252
-12071.0055,279,100.838965
-12101.0055,279,101.21488
-12116.0055,279,101.595785
-12056.0055,279,102.011999
-12071.0055,279,102.392161
-12101.0055,279,102.795577
-12116.0055,279,112.06294
-12101.0055,279,112.422455
-12071.0055,279,112.843881
-12146.0055,279,113.239702
-12071.0055,279,113.726437
-12071.0055,279,114.112166
-12116.0055,279,114.58168
-12086.0055,279,115.006386
-12086.0055,279,115.486254
-12071.0055,279,115.915612
-12101.0055,279,116.322652
-12071.0055,279,116.756243
-12116.0055,279,117.104724
-12101.0055,279,117.509513
-12101.0055,279,117.853945
-12101.0055,279,118.189548
-12086.0055,279,118.617073
-12146.0055,279,118.981105
-11996.0055,279,119.338653
-12086.0055,279,119.698678
-12116.0055,279,120.04559
-12101.0055,279,120.445641
-12056.0055,279,120.865717
-12116.0055,279,121.281744
-12056.0055,279,121.740013
-12116.0055,279,122.177622
-12086.0055,279,122.590616
-12071.0055,279,122.95977
-12071.0055,279,123.359759
-12116.0055,279,123.799948
-12116.0055,279,124.209518
-12131.0055,279,124.646608
-12056.0055,279,125.106956
-12131.0055,279,125.55244
-12131.0055,279,126.013383
-12101.0055,279,126.418257
-12086.0055,279,126.879731
-12101.0055,279,127.351964
-12056.0055,279,127.825698
-12101.0055,279,128.284354
-12056.0055,279,128.698489
-12011.0055,279,129.104049
-12131.0055,279,129.536579
-12056.0055,279,129.940946
-12041.0055,279,130.342962
-12101.0055,279,130.753734
-12116.0055,279,139.749598
-12101.0055,279,140.289048
-12071.0055,279,140.834249
-12101.0055,279,141.386598
-12056.0055,279,141.925653
-12086.0055,279,142.490017
-12116.0055,279,143.020907
-12131.0055,279,143.389842
-12086.0055,279,143.744333
-12086.0055,279,144.10122
-12101.0055,279,144.467871
-12056.0055,279,144.820077
-12011.0055,279,145.165834
-12086.0055,279,145.550966
-12071.0055,279,145.899859
-12131.0055,279,146.247323
-12116.0055,279,146.614795
-12086.0055,279,147.041996
-12086.0055,279,147.430399
-12101.0055,279,147.814738
-12056.0055,279,148.224571
-12116.0055,279,148.620148
-12056.0055,279,149.021728
-12101.0055,279,149.421557
-12116.0055,279,149.826551
-12086.0055,279,150.249098
-12056.0055,279,150.699896
-12041.0055,279,151.138961
-12146.0055,279,151.577847
-12071.0055,279,152.033995
-12056.0055,279,152.469918
-12056.0055,279,152.919825
-12086.0055,279,153.37781
-12086.0055,279,153.827248
-12056.0055,279,154.250932
-12101.0055,279,154.661926
-12071.0055,279,155.096304
-12131.0055,279,155.54536
-12056.0055,279,155.964055
-12086.0055,279,156.429834
-12086.0055,279,156.920828
-12101.0055,279,157.352677
-12071.0055,279,157.7865
-12086.0055,279,158.201076
-12056.0055,279,158.647429
-12086.0055,279,159.04541
-12131.0055,279,168.19592
-12056.0055,279,168.671155
-12086.0055,279,169.178766
-12131.0055,279,169.630755
-12131.0055,279,169.973737
-12116.0055,279,170.335809
-12071.0055,279,170.756424
-12146.0055,279,171.114944
-12131.0055,279,171.464249
-12056.0055,279,171.836814
-12101.0055,279,172.200899
-12071.0055,279,172.548687
-12101.0055,279,172.918409
-12041.0055,279,173.279641
-12086.0055,279,173.72954
-12086.0055,279,174.139343
-12131.0055,279,174.575659
-12086.0055,279,174.987689
-12101.0055,279,175.416796
-12071.0055,279,175.862817
-12116.0055,279,176.258576
-12101.0055,279,176.761728
-12056.0055,279,177.255659
-12101.0055,279,177.682705
-12056.0055,279,178.139848
-12071.0055,279,178.565148
-12131.0055,279,179.014196
-12086.0055,279,179.439922
-12071.0055,279,179.881729
-12086.0055,279,180.325859
-12116.0055,279,180.779334
-12056.0055,279,181.22756
-12101.0055,279,181.635514
-12101.0055,279,182.028323
-12116.0055,279,182.462994
-12101.0055,279,182.881757
-12056.0055,279,183.299436
-12086.0055,279,183.710354
-12116.0055,279,184.117737
-12101.0055,279,184.547324
-12056.0055,279,184.928368
-12041.0055,279,185.321861
-12071.0055,279,185.728684
-12086.0055,279,186.078378
-12086.0055,279,186.417667
-12086.0055,279,186.783551
-12086.0055,279,196.259596
-12056.0055,279,196.613559
-12086.0055,279,196.976773
-12056.0055,279,197.318058
-12116.0055,279,197.678278
-12086.0055,279,198.034751
-12071.0055,279,198.393138
-12116.0055,279,198.74829
-12086.0055,279,199.10359
-12101.0055,279,199.454767
-12116.0055,279,199.838628
-12086.0055,279,200.221578
-12071.0055,279,200.63854
-12071.0055,279,201.014726
-12086.0055,279,201.434739
-12116.0055,279,201.827381
-12086.0055,279,202.212987
-12101.0055,279,202.605764
-12131.0055,279,203.017505
-12071.0055,279,203.428354
-12071.0055,279,203.867422
-12056.0055,279,204.330562
-12056.0055,279,204.747245
-12071.0055,279,205.180672
-12056.0055,279,205.630441
-12116.0055,279,206.026676
-12101.0055,279,206.472254
-12086.0055,279,206.898708
-12101.0055,279,207.337981
-12101.0055,279,207.749747
-12041.0055,279,208.178544
-12071.0055,279,208.602662
-12086.0055,279,209.046815
-12086.0055,279,209.461835
-12131.0055,279,209.89025
-12116.0055,279,210.355545
-12026.0055,279,210.854542
-12041.0055,279,211.395072
-12056.0055,279,211.877413
-12101.0055,279,212.331434
-12086.0055,279,212.743083
-12071.0055,279,213.099539
-12056.0055,279,213.455863
-12056.0055,279,213.851647
-12011.0055,279,214.19771
-12086.0055,279,214.551499
