#{"t_start": 1768050674.0728588, "env_id": "None"}
r,l,t
437.3875,55,0.98351
437.2631,55,1.086678
437.3416,55,1.180735
437.3968,55,1.277901
437.4658,55,1.368844
437.4657,55,1.48394
437.3873,55,1.583554
437.4655,55,1.684894
437.2631,55,1.788509
437.3415,55,1.891544
437.3873,55,1.997164
427.4659,55,2.104433
385.8128,55,2.207476
437.3875,55,2.321242
437.3415,55,2.427911
437.4658,55,2.533168
437.3874,55,2.639499
437.3874,55,2.739699
437.3874,55,2.850974
437.3874,55,2.952722
437.4659,55,3.058099
437.3969,55,3.163717
437.4658,55,3.247539
437.3874,55,3.331048
437.4657,55,3.432766
437.3874,55,3.538949
437.3874,55,3.636583
437.4657,55,3.732052
437.4657,55,3.81835
437.2729,55,3.904785
437.3414,55,4.001936
437.3186,55,4.103147
437.3874,55,4.213631
437.3875,55,4.306635
437.3874,55,4.408073
437.3873,55,4.49748
437.3873,55,4.593814
437.3873,55,4.698923
437.3873,55,4.806146
437.3414,55,4.914664
437.3969,55,5.022055
437.3969,55,5.120422
437.3969,55,5.218037
437.3873,55,5.316736
437.3969,55,5.417148
437.3414,55,5.51982
437.3875,55,5.618457
437.2632,55,5.712629
437.397,55,5.792063
437.4656,55,5.87246
437.397,55,5.952054
437.3875,55,6.029945
437.2727,55,6.108723
437.3873,55,6.203132
437.4657,55,6.289531
437.4659,55,6.371467
437.3415,55,6.448791
437.4656,55,6.526734
437.3873,55,6.597248
437.4655,55,6.668583
437.4656,55,6.743884
437.3415,55,6.815322
437.3414,55,6.8894
437.2728,55,6.965172
437.4659,55,7.045627
437.3874,55,7.117629
437.3874,55,7.191571
437.4659,55,7.260887
437.397,55,7.33143
437.4655,55,7.40293
437.3414,55,7.481325
384.4719,55,7.565886
437.4657,55,7.641036
437.4657,55,7.713238
437.4657,55,7.783448
437.3874,55,7.855106
437.3874,55,7.930392
437.4656,55,8.001817
437.4656,55,8.076372
437.4658,55,8.151199
384.4163,55,8.224244
437.4657,55,8.300998
437.2633,55,8.376859
437.3874,55,8.455592
437.3873,55,8.529773
437.4657,55,8.606739
437.4659,55,8.687314
437.3873,55,8.766764
437.3874,55,8.84998
437.3968,55,8.929983
437.3415,55,9.013139
437.2726,55,9.093976
437.3968,55,9.170095
437.3874,55,9.247553
422.3414,55,9.323146
437.3875,55,9.401992
437.2727,55,9.499016
437.397,55,9.601346
437.4655,55,9.700528
437.3874,55,9.805346
384.2693,55,9.907694
437.3971,55,10.00965
437.3968,55,10.106785
437.3187,55,10.209111
437.3968,55,10.304752
437.3873,55,10.40575
437.4657,55,10.500861
422.2633,55,10.596205
437.3875,55,10.686818
437.2729,55,10.775646
437.3415,55,10.86576
437.3874,55,10.955913
427.3874,55,11.038589
437.3091,55,11.127566
437.2729,55,11.217455
437.3971,55,11.309852
437.3873,55,11.421525
437.4656,55,11.511694
437.3415,55,11.603587
437.3415,55,11.693041
437.3416,55,11.794075
437.4655,55,11.894532
437.3873,55,11.97754
437.4657,55,12.073064
437.4657,55,12.16503
437.4657,55,12.293708
437.3186,55,12.391515
437.3416,55,12.480257
384.4163,55,12.579783
385.8032,55,12.663917
437.3873,55,12.751552
437.3874,55,12.841534
437.4656,55,12.92749
437.4657,55,13.019735
437.397,55,13.112969
437.3415,55,13.207042
437.4655,55,13.304721
437.3876,55,13.398857
437.4657,55,13.498675
437.3971,55,13.587311
437.3971,55,13.665882
437.4656,55,13.742584
384.4622,55,13.820023
437.3416,55,13.899795
385.8032,55,13.976198
437.3414,55,14.053065
437.3968,55,14.130157
437.3873,55,14.208716
437.397,55,14.282745
437.3971,55,14.358764
437.4657,55,14.45693
437.3874,55,14.538196
437.3416,55,14.6148
436.0773,55,14.692901
437.3873,55,14.77113
437.3876,55,14.848673
437.3874,55,14.927116
437.4659,55,15.003538
437.3874,55,15.080113
437.2727,55,15.157037
384.4622,55,15.233335
437.3873,55,15.311733
437.3415,55,15.388053
437.4658,55,15.468849
437.3873,55,15.545606
437.397,55,15.622677
385.8816,55,15.698833
437.4655,55,15.779732
437.4655,55,15.86298
437.4659,55,15.946148
437.2633,55,16.021846
384.4622,55,16.10157
437.4659,55,16.182876
437.3874,55,16.261922
437.3876,55,16.341016
437.3416,55,16.422584
384.4164,55,16.498858
437.3874,55,16.575664
437.3415,55,16.655715
437.4659,55,16.733358
437.3415,55,16.810428
437.3874,55,16.887212
437.3971,55,16.967839
437.2729,55,17.042447
437.3875,55,17.117992
437.4657,55,17.197853
334.6672,56,17.282042
384.4623,55,17.381077
437.3968,55,17.475049
437.3874,55,17.571666
437.3874,55,17.681984
437.3875,55,17.784897
437.3874,55,17.88758
437.4657,55,17.979835
437.2726,55,18.082238
437.4657,55,18.183238
384.3401,55,18.290837
437.3416,55,18.38375
437.4657,55,18.470185
437.3874,55,18.575923
334.6672,56,18.65773
437.2729,55,18.762184
437.3873,55,18.846685
336.2165,56,18.940431
437.3873,55,19.047541
437.3971,55,19.147485
437.3187,55,19.246706
437.2631,55,19.349977
437.3873,55,19.438772
437.3874,55,19.539396
437.3874,55,19.633622
437.3414,55,19.741991
437.3874,55,19.844631
437.3874,55,19.947167
437.3873,55,20.04631
437.3874,55,20.154827
437.2631,55,20.237482
437.3873,55,20.337952
437.3874,55,20.437049
437.3873,55,20.535984
437.3415,55,20.644799
437.3414,55,20.742569
437.4657,55,20.840027
437.3873,55,20.946622
437.4657,55,21.046602
437.4659,55,21.139866
437.3416,55,21.24184
437.3874,55,21.347786
437.3873,55,21.430675
437.2631,55,21.511759
437.4659,55,21.597451
437.3968,55,21.685133
437.4658,55,30.782949
437.2726,55,30.873935
437.2633,55,30.955437
437.2632,55,31.041852
437.2631,55,31.125802
437.4657,55,31.209798
437.4655,55,31.292758
437.4658,55,31.373699
437.4658,55,31.460652
437.4657,55,31.555708
437.2632,55,31.632728
437.4656,55,31.709629
437.2632,55,31.786965
437.3873,55,31.865919
437.4655,55,31.945012
385.8032,55,32.023663
437.3416,55,32.10156
437.4658,55,32.177561
437.4657,55,32.257605
437.4657,55,32.338464
437.3873,55,32.419742
437.3873,55,32.505211
437.3414,55,32.596132
437.2633,55,32.672803
437.3414,55,32.752796
437.4659,55,32.828598
437.4657,55,32.905738
437.3873,55,32.981009
437.4655,55,33.058505
437.3971,55,33.136173
437.3415,55,33.210822
437.2729,55,33.28595
437.2729,55,33.358727
437.4655,55,33.432682
437.3969,55,33.510156
437.3873,55,33.590878
437.3874,55,33.665891
437.3873,55,33.741839
437.3875,55,33.817052
437.4658,55,33.893978
437.4657,55,33.970202
437.2633,55,34.047813
437.2728,55,34.123019
437.4659,55,34.200766
437.3874,55,34.274945
437.3873,55,34.349165
437.3415,55,34.423194
437.3873,55,34.500133
437.3874,55,34.588164
437.4659,55,34.663067
437.3968,55,34.737006
437.3414,55,34.808928
437.3414,55,34.885235
437.397,55,34.959948
437.4656,55,35.032964
437.397,55,35.106625
437.3873,55,35.184928
437.3415,55,35.300924
437.3874,55,35.404729
437.3968,55,35.512041
437.3873,55,35.621829
437.3971,55,35.734866
437.2632,55,35.840485
437.3874,55,35.947342
437.3873,55,36.066405
437.4657,55,36.180042
437.0931,55,36.291326
437.4659,55,36.401763
437.3873,55,36.513067
437.4658,55,36.624704
437.3876,55,36.736131
437.4659,55,36.841712
437.3873,55,36.957127
384.4624,55,37.072493
437.3415,55,37.180374
437.3873,55,37.289186
437.397,55,37.39443
437.3968,55,37.498637
437.3875,55,37.597969
437.3414,55,37.695683
437.3413,55,37.805242
437.3969,55,37.91115
437.4657,55,38.02217
437.4658,55,38.148805
437.3876,55,38.26786
437.4658,55,38.385595
437.4658,55,38.494098
437.3416,55,38.577126
437.3873,55,38.679769
437.4658,55,38.800061
437.4657,55,38.911747
437.4657,55,39.02119
427.2633,55,39.140386
437.3416,55,39.260643
